-1, 0, 1004
-22, 0, 1007
-5, -4, 1011
-10, -1, 1016
-4, -1, 984
-4, 4, 1004
-7, 6, 1008
-8, 1, 989
-9, 4, 1009
1, 1, 1023
-18, 5, 1025
-18, -4, 1017
-13, 3, 1014
-9, -3, 1014
-6, 2, 1014
-12, 4, 1045
-21, 2, 1026
-22, -1, 993
-3, -1, 1001
-14, -4, 1009
-16, -3, 1017
-20, -3, 1027
-18, -4, 1040
-24, 1, 1008
-19, 5, 1012
-18, 5, 1012
-3, 4, 1016
-10, 5, 996
-23, -4, 1012
-9, -3, 1020
-8, 2, 995
-15, 4, 997
-13, 5, 995
-12, 0, 1021
-12, 0, 1006
-9, -1, 1014
-13, 1, 993
-7, 3, 998
-8, -8, 994
-18, -2, 1002
-6, 0, 1016
-13, 7, 1012
-21, -5, 1020
-5, -2, 1004
-14, -2, 1007
-12, -6, 1007
-25, 3, 996
-20, 1, 1023
-21, 1, 1007
-18, 2, 999
-2, 0, 1012
-19, 7, 1019
-2, -2, 1027
-8, -4, 1000
-6, 3, 1020
-16, 3, 996
-15, 7, 995
-17, 2, 1018
-9, 0, 1022
-8, -7, 1013
-4, -4, 1022
-9, 0, 1038
-17, 2, 1006
-12, 4, 990
-17, 7, 1013
-14, 5, 1014
-15, 3, 1014
-6, 4, 998
-13, 3, 998
-22, 2, 1021
-15, 0, 1004
-5, 1, 1023
-13, 8, 1011
-15, 6, 1012
-24, -3, 1020
-10, -4, 1027
-11, -2, 1021
-9, 0, 996
-15, 2, 1018
-26, -6, 1010
-23, -2, 1010
-20, 5, 1013
-26, 6, 998
-4, 9, 1008
10, 1, 1013
-4, 2, 1034
-14, 0, 1017
-9, 1, 1012
-12, 4, 1014
-12, 1, 1028
-5, -3, 1032
-18, -1, 991
-11, 2, 993
-10, -1, 986
-16, -3, 997
-13, 2, 1008
-12, 4, 1017
-20, 0, 1013
-21, 4, 999
-19, -1, 1001
-12, -2, 1009
-6, 5, 987
-16, 5, 1010
-13, -1, 1021
-16, -3, 1021
-17, 4, 1004
-4, -4, 1019
-12, -6, 1019
-10, 6, 1021
-18, -1, 1012
-16, -4, 1026
-8, 4, 1005
-13, 1, 1022
-18, 8, 1002
-19, 3, 992
-13, 3, 990
-15, 7, 1004
-16, 1, 1000
-14, 2, 1011
-15, 2, 1013
