-85, -18, -976
-89, -18, -962
-93, -16, -955
-99, -12, -955
-102, -16, -962
-102, -17, -960
-95, -17, -976
-97, -9, -963
-93, -10, -951
-101, -12, -954
-99, -12, -961
-97, -16, -965
-91, -16, -968
-93, -10, -953
-82, -11, -954
-88, -9, -964
-91, -12, -947
-105, -12, -958
-118, -14, -978
-101, -12, -967
-99, -12, -986
-103, -13, -973
-102, -22, -968
-95, -19, -964
-102, -6, -977
-106, -8, -962
-104, -10, -951
-101, -6, -972
-97, -12, -971
-94, -10, -961
-90, -5, -974
-85, -10, -984
-79, -16, -972
-99, -14, -960
-95, -5, -972
-79, -10, -980
-81, -10, -974
-101, -14, -964
-90, -14, -994
-99, -13, -956
-102, -15, -951
-91, -12, -981
-89, -9, -947
-103, -21, -979
-101, -8, -974
-104, -4, -982
-103, -4, -989
-100, -4, -989
-99, -14, -961
-93, -11, -954
-88, -6, -964
-92, -5, -969
-93, -10, -973
-94, -12, -964
-89, -12, -942
-96, -11, -972
-111, -9, -984
-97, -15, -971
-86, -16, -956
-93, -13, -943
-94, -11, -963
-98, -14, -978
-95, -10, -973
-92, -10, -955
-92, -15, -947
-82, -12, -968
-103, -15, -979
-105, -15, -969
-97, -11, -971
-104, -11, -973
-95, -12, -964
-97, -7, -957
-98, -9, -957
-85, -14, -943
-96, -16, -945
-107, -8, -972
-97, -13, -954
-94, -9, -952
-77, -19, -948
-84, -9, -969
-97, -11, -963
-91, -15, -986
-101, -17, -986
-101, -16, -963
-102, -11, -968
-102, -9, -974
-91, -14, -971
-83, -9, -976
-101, -10, -973
-86, -21, -964
-87, -14, -975
-92, -11, -957
-101, -15, -970
-105, -19, -953
-108, -11, -950
-97, -12, -974
-98, -6, -960
-109, -17, -951
-95, -14, -985
-108, -11, -979
-109, -14, -966
-91, -9, -961
-99, -11, -975
-103, -10, -959
-95, -9, -956
-97, -9, -957
-89, -15, -960
-89, -13, -966
-72, -9, -946
-91, -15, -956
-110, -12, -960
-102, -13, -970
-102, -10, -973
-108, -10, -965
-88, -12, -985
-90, -11, -958
-108, -16, -965
-100, -16, -962
-98, -13, -966
-104, -18, -953
-98, -9, -972
-99, -14, -958
-94, -16, -960
-107, -10, -960
-95, -10, -969
-100, -13, -976
-99, -6, -966
-95, -11, -971
-101, -8, -952
-102, -14, -952
-89, -8, -975
-91, -14, -968
-106, -8, -963
-113, -9, -958
-104, -8, -956
-96, -15, -977
-82, -7, -970
-85, -16, -951
-97, -13, -979
-95, -16, -962
-81, -14, -962
-104, -14, -971
-93, -12, -980
-102, -7, -988
-106, -5, -987
-107, -12, -969
-102, -13, -941
-99, -14, -979
-102, -12, -979
-99, -7, -970
-98, -8, -935
-99, -13, -957
-105, -19, -973
-112, -13, -961
-97, -5, -974
-90, -8, -992
-90, -7, -935
-93, -14, -968
-97, -10, -949
-91, -7, -931
-89, -11, -938
-100, -9, -1004
-108, -13, -979
-96, -14, -936
-84, -11, -932
-90, -10, -950
-86, -6, -972
-102, -13, -992
-107, -14, -949
-101, -17, -945
-94, -11, -946
-91, -12, -990
-111, -13, -984
-99, -9, -982
-98, -7, -979
-94, -9, -950
-99, -12, -983
-93, -11, -995
-92, -10, -989
-100, -15, -971
-93, -17, -972
-103, -21, -958
-109, -16, -948
-98, -14, -953
-101, -15, -957
-86, -1, -964
-84, -7, -951
-94, -16, -964
-111, -10, -974
-96, -18, -980
-91, -10, -984
-97, -5, -947
-94, -6, -950
-99, -14, -954
-76, -8, -966
-90, -14, -948
-95, -13, -982
-92, -12, -971
-87, -15, -945
-77, -10, -959
-103, -19, -958
-95, -12, -964
-88, -12, -971
-89, -8, -968
-104, -13, -972
-94, -12, -964
-103, -18, -964
-97, -13, -978
-98, -11, -978
-101, -7, -946
-102, -4, -938
-116, -10, -948
-113, -12, -963
-99, -15, -987
-101, -16, -976
-111, -18, -992
-98, -20, -957
-100, -18, -970
-91, -16, -944
-104, -13, -968
-97, -17, -978
-100, -14, -998
-101, -8, -953
-97, -2, -944
-94, -2, -972
-92, -12, -981
-94, -15, -995
-107, -19, -984
-104, -15, -974
-96, -9, -945
-99, -12, -956
-103, -13, -953
-91, -7, -981
-112, -12, -958
-96, -11, -981
-107, -7, -972
-106, -6, -976
-105, -5, -971
-104, -4, -993
-100, -14, -976
-90, -18, -986
-94, 3, -972
-87, 43, -945
-100, 9, -976
-103, -46, -947
-122, -51, -1015
-100, -52, -959
-77, -11, -927
-72, -1, -965
-75, -1, -983
-89, -24, -873
-82, -26, -910
-103, -23, -1071
-129, -5, -992
-125, -12, -906
-100, -10, -923
-94, -24, -919
-114, -26, -978
-104, -4, -1054
-111, -7, -1043
-96, -12, -917
-82, -25, -878
-98, -29, -906
