-20, 0, 994
-25, -1, 980
-19, -2, 984
-11, 4, 1017
-30, 2, 1017
-24, 1, 1016
-12, -2, 1025
-16, 5, 1001
-2, 0, 1000
-13, 8, 996
-17, -1, 1013
-9, -1, 1016
-11, -1, 997
-23, 2, 1022
-28, -9, 1030
-12, 2, 1010
-8, 4, 1013
-2, 5, 997
-6, 4, 991
-6, 2, 1006
-8, -3, 1006
-16, 2, 1028
-1, -3, 998
-8, -1, 1005
-14, 0, 1026
-7, 0, 1014
-20, 2, 1007
-26, 7, 1009
-21, 0, 1023
-1, 2, 1008
-4, -2, 1012
9, 3, 1028
-8, 5, 994
-25, 5, 985
-10, 9, 998
-20, 4, 998
-6, 0, 1005
-10, 3, 1007
-13, 8, 1008
-13, 1, 1030
-7, 0, 1016
-6, 1, 1012
1, 4, 1012
-24, 1, 1013
-24, 1, 1004
-11, 6, 999
-15, 2, 997
-12, 2, 1011
-15, -5, 1005
-14, 5, 1004
-22, -2, 1020
-15, -3, 1019
-18, 8, 1010
-15, 3, 1008
-14, 3, 1000
-14, 9, 1013
-11, 5, 1003
-7, 0, 998
-17, 0, 999
-17, 2, 1022
4, 0, 1028
-17, 5, 997
-13, 2, 1029
-10, -2, 1024
-3, -1, 1017
-3, -4, 1020
-5, 2, 999
-17, 4, 1006
-18, 8, 1021
-19, -4, 1036
-10, -4, 1032
-5, -3, 1016
-5, 3, 994
-22, 4, 993
-7, 0, 992
-12, 2, 1017
-14, 2, 1006
-12, 0, 1003
-16, -4, 988
-16, 2, 1005
-10, -3, 1030
-7, 1, 1015
-14, -1, 1030
-18, 8, 1011
-21, 7, 1009
-26, 2, 1017
-28, -1, 990
-22, -1, 993
-8, 3, 995
-10, 4, 1008
-12, 0, 1004
3, 0, 998
-7, -2, 996
-22, -3, 1021
-10, -2, 987
-16, 1, 995
-16, -2, 1017
-17, 3, 1001
-21, 3, 1010
-20, 7, 1013
-4, 2, 999
-9, 0, 1020
-27, 0, 1000
-14, -3, 997
-5, -1, 996
1, 2, 1014
-19, 1, 1012
-11, -1, 1007
-20, 1, 1021
-20, 1, 1013
-16, 7, 1003
-22, 5, 995
-21, 1, 1023
-12, 0, 1035
0, -5, 1011
-7, 1, 1005
-2, 4, 992
-10, 4, 1010
-11, 5, 1000
-13, 6, 985
-17, 10, 1027
-15, 6, 1014
-5, 5, 1002
-11, -1, 1024
