9, 1, 1032
-15, -3, 1015
-4, -2, 1004
2, 3, 999
-14, -1, 1001
-8, 6, 991
-12, 3, 997
-9, -2, 993
-16, -2, 1009
-9, -1, 1017
-8, 2, 1023
-15, 3, 1026
-25, 11, 1000
-18, 3, 1018
-9, -3, 1012
2, 7, 1015
-14, 2, 1003
-3, 3, 991
-16, -3, 1013
-13, 1, 1010
7, 0, 1005
-4, 3, 1005
-21, 8, 1017
-6, 0, 1008
-3, 2, 1019
-14, 4, 1023
-7, 1, 997
-22, 2, 990
-19, 2, 1010
-10, 0, 1004
-16, 7, 1003
-3, -2, 1008
-11, -4, 997
-7, 1, 997
2, 1, 1008
-10, 2, 987
-10, 2, 998
-29, -3, 998
-25, -2, 992
-20, 2, 1000
-15, 1, 1010
-16, 0, 1017
-8, 2, 1004
-11, -2, 1022
0, 3, 988
-7, 5, 991
-9, 7, 1010
-19, 7, 1020
-12, 0, 1004
-2, 7, 986
-15, 6, 997
-11, 4, 998
-16, 2, 1015
-9, 4, 1003
-18, 2, 1010
-12, 4, 1009
-23, 6, 1008
-20, 0, 1008
-19, 2, 1016
4, 5, 988
-7, 5, 995
-4, 1, 1006
-22, -4, 1029
-3, -2, 1013
-12, 0, 1003
-4, 8, 993
-16, 3, 1008
-23, 6, 1023
-24, -3, 1018
-4, -4, 1025
-14, -2, 1023
-8, -1, 1002
-6, 8, 994
-17, 2, 996
-18, 1, 994
-22, -2, 1005
-24, -1, 1012
-7, -2, 998
-3, -4, 1005
-16, 0, 1025
-7, 2, 1012
-12, 2, 1001
-9, 1, 1001
-12, 1, 987
-8, 0, 1021
-10, 3, 1006
-10, -4, 1009
-7, 3, 1002
-7, -1, 1028
-15, 2, 1018
-19, 1, 991
-10, 5, 1006
-17, 5, 1025
-17, 5, 1017
-8, -2, 1026
-24, -2, 1011
-15, 3, 1004
-20, 7, 1021
-21, 4, 1028
-3, 4, 997
-3, 5, 995
-15, 0, 993
-20, -2, 1015
-19, -2, 1011
-2, 2, 1001
-15, 6, 1027
-12, 2, 1005
-9, 3, 1003
-17, -2, 1012
-14, -2, 1008
-11, -2, 1013
-14, 3, 1000
-26, 7, 1012
-34, 0, 999
-14, 3, 996
-14, 6, 996
-27, 5, 991
-14, 2, 1006
-7, 1, 1019
-15, 3, 1014
-12, 6, 1008
-11, 4, 1018
-11, -4, 1017
-16, 8, 994
-21, 8, 1004
-14, 0, 1008
-8, 4, 1008
-8, 1, 1007
-7, 4, 1001
-17, 3, 1011
-9, 5, 1000
-9, 0, 1001
-11, 5, 1004
-10, -3, 1011
-8, 3, 1012
1, 3, 1025
-5, 1, 991
-8, -1, 1014
-11, -3, 1003
0, -2, 1014
-16, 5, 1011
-7, 4, 1025
-16, 2, 1018
-12, -1, 988
-24, 2, 984
-23, -2, 998
-8, -1, 985
1, 3, 1018
-6, 8, 1010
-13, 2, 1026
-1, 4, 1005
-22, 1, 1019
-16, -2, 1009
-23, 0, 1005
-11, 1, 1019
-3, 4, 1009
-19, 0, 1016
2, 2, 1009
-8, 3, 999
-14, 3, 1008
-10, -2, 1014
-4, 2, 1007
-14, 4, 1004
-19, 4, 1013
-16, 3, 1008
-16, 7, 1010
-4, -1, 980
-4, 4, 1021
-14, 5, 1013
-10, 4, 1010
-21, 6, 990
-19, 2, 1001
-17, 3, 1012
-16, 2, 1008
-11, 6, 1005
-7, 4, 1000
-12, -5, 1027
-22, 3, 1012
-8, 3, 1006
-19, 2, 1013
-1, -3, 1009
-11, 1, 1002
-18, -3, 1022
-2, 4, 1015
-18, 6, 1018
-11, -3, 1003
-24, 4, 1022
-12, 5, 1002
-18, -2, 1005
3, 5, 1019
-15, -1, 1007
-7, -4, 1009
-11, 4, 994
-7, 5, 1000
-18, 3, 1013
-20, 0, 1006
-8, -2, 1015
-14, -1, 1013
-16, 1, 995
-12, 1, 1028
-18, -3, 1022
-13, 6, 1021
-11, 1, 993
-16, 0, 1003
-5, -1, 999
2, 4, 996
-9, -2, 1022
3, 6, 996
-10, 7, 1004
-14, 7, 1021
-18, 8, 1020
-20, 6, 1018
